  STN,YYYYMMDD,   TX
  260,20131101,  126
  260,20131102,  127
  260,20131103,  110
  260,20131104,  124
  260,20131105,   95
  260,20131106,  143
  260,20131107,  143
  260,20131108,  111
  260,20131109,  108
  260,20131110,  101
  260,20131111,   95
  260,20131112,   87
  260,20131113,  119
  260,20131114,   83
  260,20131115,  116
  260,20131116,   65
  260,20131117,   73
  260,20131118,   66
  260,20131119,   87
  260,20131120,   61
  260,20131121,   51
  260,20131122,   59
  260,20131123,   81
  260,20131124,   84
  260,20131125,   80
  260,20131126,   75
  260,20131127,   85
  260,20131128,  104
  260,20131129,   88
  260,20131130,   98
  260,20131201,   93
  260,20131202,   83
  260,20131203,   62
  260,20131204,   84
  260,20131205,   91
  260,20131206,   54
  260,20131207,   81
  260,20131208,   96
  260,20131209,  111
  260,20131210,   91
  260,20131211,   41
  260,20131212,   52
  260,20131213,   44
  260,20131214,   88
  260,20131215,   90
  260,20131216,  127
  260,20131217,  106
  260,20131218,   89
  260,20131219,   94
  260,20131220,   83
  260,20131221,   74
  260,20131222,  106
  260,20131223,  116
  260,20131224,  115
  260,20131225,   87
  260,20131226,   70
  260,20131227,   92
  260,20131228,   91
  260,20131229,   79
  260,20131230,   75
  260,20131231,   90
  260,20140101,   99
  260,20140102,  103
  260,20140103,  122
  260,20140104,   93
  260,20140105,   84
  260,20140106,  145
  260,20140107,  123
  260,20140108,  100
  260,20140109,  121
  260,20140110,   88
  260,20140111,   78
  260,20140112,   62
  260,20140113,   99
  260,20140114,   71
  260,20140115,   64
  260,20140116,   89
  260,20140117,   90
  260,20140118,   86
  260,20140119,   71
  260,20140120,   60
  260,20140121,   54
  260,20140122,   43
  260,20140123,   52
  260,20140124,   67
  260,20140125,   63
  260,20140126,   68
  260,20140127,   62
  260,20140128,   68
  260,20140129,   25
  260,20140130,   50
  260,20140131,   74
  260,20140201,   84
  260,20140202,   80
  260,20140203,   82
  260,20140204,   94
  260,20140205,  104
  260,20140206,   96
  260,20140207,  103
  260,20140208,   90
  260,20140209,   76
  260,20140210,   90
  260,20140211,   83
  260,20140212,   91
  260,20140213,   69
  260,20140214,   88
  260,20140215,  134
  260,20140216,   94
  260,20140217,  104
  260,20140218,   80
  260,20140219,  110
  260,20140220,  100
  260,20140221,  103
  260,20140222,  103
  260,20140223,  118
  260,20140224,  126
  260,20140225,  126
  260,20140226,  111
  260,20140227,   78
  260,20140228,   85
  260,20140301,   82
  260,20140302,   98
  260,20140303,   99
  260,20140304,  107
  260,20140305,  126
  260,20140306,  137
  260,20140307,  128
  260,20140308,  160
  260,20140309,  195
  260,20140310,  180
  260,20140311,  144
  260,20140312,  168
  260,20140313,  168
  260,20140314,  120
  260,20140315,  118
  260,20140316,  122
  260,20140317,  120
  260,20140318,  105
  260,20140319,  159
  260,20140320,  212
  260,20140321,  110
  260,20140322,  105
  260,20140323,   95
  260,20140324,  109
  260,20140325,  108
  260,20140326,   96
  260,20140327,  137
  260,20140328,  173
  260,20140329,  192
  260,20140330,  202
  260,20140331,  204
  260,20140401,  204
  260,20140402,  215
  260,20140403,  227
  260,20140404,  152
  260,20140405,  177
  260,20140406,  177
  260,20140407,  212
  260,20140408,  138
